"IDENTIFICADOR_NOTA_FISCAL";"NUMERO_ITEM";"CODIGO_PRODUTO";"QUANTIDADE";"VALOR_UNITARIO";"VALOR_TOTAL"
1477875362;1;69443;1;34.9;34.9
1477875363;2;35216;1;5.99;5.99
1477875363;1;12650;1;7.8;7.8
1477875363;3;53636;1;5.99;5.99
1477875364;4;67844;1;11.12;11.12
1477875364;2;13625;3;1.79;5.37
1477875364;3;60291;1;3.9;3.9
1477875364;5;1743;1;11.12;11.12
1477875364;1;60284;1;9.9;9.9
1477875365;2;72636;1;3.77;3.77
1477875365;3;74493;1;6.05;6.05
1477875365;1;60685;1;11.99;11.99
1477875366;1;26976;1;8.99;8.99
1477875366;6;57353;1;16.99;16.99
1477875366;4;837;1;24.99;24.99
1477875366;5;57353;1;16.99;16.99
1477875366;3;28280;1;21.9;21.9
1477875366;2;91988;1;62.9;62.9
1477875367;1;43518;1;112.9;112.9
1477875367;3;748;1;4;4
1477875367;2;47663;1;35.99;35.99
1477875368;2;48596;1;53.81;53.81
1477875368;1;47173;1;20.75;20.75
1477875369;1;1269;1;42.29;42.29
1477875369;5;73840;1;29.37;29.37
1477875369;4;73840;1;29.37;29.37
1477875369;3;57008;1;21.64;21.64
1477875369;2;14282;1;99.98;99.98
1477875370;3;47899;1;3.57;3.57
1477875370;2;47899;1;3.57;3.57
1477875370;1;18223;3;3.92;11.76
1477875371;2;39217;1;4.99;4.99
1477875371;1;62453;1;78.6;78.6
1477875371;4;61094;1;10.59;10.59
1477875371;3;56374;1;12.9;12.9
1477875372;1;16463;1;32.98;32.98
1477875372;2;85987;1;200.95;200.95
1477875373;1;51965;1;98.91;98.91
1477875375;1;33027;1;4.18;4.18
1477875376;1;19834;1;2.83;2.83
1477875376;2;8658;1;22.54;22.54
1477875377;1;49642;1;10.59;10.59
1477875377;5;45010;1;4.49;4.49
1477875377;4;86642;1;5.89;5.89
1477875377;2;46818;1;2.84;2.84
1477875377;3;70540;1;1.32;1.32
1477875378;1;35174;1;42.41;42.41
1477875380;2;73935;1;11.29;11.29
1477875380;1;44510;1;11.19;11.19
1477875384;1;24741;1;10.7;10.7
1477875385;2;33027;1;4.18;4.18
1477875385;4;39217;1;4.99;4.99
1477875385;5;39217;1;4.99;4.99
1477875385;7;39217;1;4.99;4.99
1477875385;1;91388;1;3;3
1477875385;3;43705;1;9.9;9.9
1477875385;6;61094;1;10.59;10.59
1477875386;2;26878;1;6.1;6.1
1477875386;5;42687;1;5.79;5.79
1477875386;6;49786;1;36.9;36.9
1477875386;3;40674;1;16.6;16.6
1477875386;4;39860;1;21.9;21.9
1477875386;1;26878;1;6.1;6.1
1477875386;7;52922;2;3.06;6.12
1477875387;2;260;1;21.99;21.99
1477875387;1;260;1;21.99;21.99
1477875388;11;20427;1;7.07;7.07
1477875388;2;51582;1;26.49;26.49
1477875388;6;38529;1;11.43;11.43
1477875388;10;20427;1;7.07;7.07
1477875388;7;10721;1;15.5;15.5
1477875388;1;22652;1;39.9;39.9
1477875388;13;60317;1;19.99;19.99
1477875388;12;61924;1;18.2;18.2
1477875388;9;46015;1;13.29;13.29
1477875388;3;50528;1;57.06;57.06
1477875388;8;39324;1;11.85;11.85
1477875388;5;56093;1;16.15;16.15
1477875388;4;36524;1;8.88;8.88
1477875392;5;20900;1;30.27;30.27
1477875392;1;39132;1;5.41;5.41
1477875392;2;39132;1;5.41;5.41
1477875392;3;39132;1;5.41;5.41
1477875392;9;17142;1;159.39;159.39
1477875392;6;50199;1;14.58;14.58
1477875392;4;39132;1;5.41;5.41
1477875392;7;47613;1;231.76;231.76
1477875392;8;59349;1;29.99;29.99
1477875394;1;94950;1;234.45;234.45
1477875395;4;99223;1;28.47;28.47
1477875395;1;21369;1;5.65;5.65
1477875395;5;50199;1;16.05;16.05
1477875395;3;39258;1;3.59;3.59
1477875395;2;21369;1;5.65;5.65
1477875396;1;54247;1;28.72;28.72
1477875396;3;22652;1;38.32;38.32
1477875396;2;20553;1;35.97;35.97
1477875397;1;12939;1;59.9;59.9
1477875397;3;37452;1;17.99;17.99
1477875397;2;37695;1;43.05;43.05
1477875398;1;18212;1;71.9;71.9
1477875399;2;1197;1;14.85;14.85
1477875399;5;87610;1;51.63;51.63
1477875399;1;21259;1;19.9;19.9
1477875399;3;10187;1;16.99;16.99
1477875399;4;87610;1;51.63;51.63
1477875401;4;57353;1;16.99;16.99
1477875401;3;60597;1;29.9;29.9
1477875401;2;85482;1;20.86;20.86
1477875401;1;53803;1;8.99;8.99
1477875402;1;15497;1;52.94;52.94
1477875404;1;50199;1;11.07;11.07
1477875404;3;33027;1;4.18;4.18
1477875404;4;70343;1;5.69;5.69
1477875404;2;62050;1;4.78;4.78
1477875404;5;18316;1;6.23;6.23
1477875405;1;56471;1;2.08;2.08
1477875406;2;17247;1;10.99;10.99
1477875406;1;60704;1;15.9;15.9
1477875409;1;46254;1;18.17;18.17
1477875409;2;20658;1;3.19;3.19
1477875411;1;47613;1;154.5;154.5
1477875412;1;11720;5;1.59;7.95
1477875416;4;17533;1;47.14;47.14
1477875416;3;11896;1;4.08;4.08
1477875416;1;54719;1;38.09;38.09
1477875416;2;24133;1;8.36;8.36
1477875418;8;39508;1;9.65;9.65
1477875418;4;74001;1;28.92;28.92
1477875418;5;68363;1;36.56;36.56
1477875418;7;35258;1;6.55;6.55
1477875418;10;30410;1;3.96;3.96
1477875418;2;21394;1;47.72;47.72
1477875418;1;7999;1;36.91;36.91
1477875418;3;74001;1;28.92;28.92
1477875418;6;81084;1;43.81;43.81
1477875418;9;30410;1;3.96;3.96
1477875419;6;28;1;71.49;71.49
1477875419;1;4883;1;1.58;1.58
1477875419;3;4883;1;1.58;1.58
1477875419;2;83692;1;6.71;6.71
1477875419;5;60161;2;2.33;4.66
1477875419;4;63953;2;2.33;4.66
